WeiboID,正文,日期,点赞数,评论数,转发数,话题,Time
宝玉xp,比尔·盖茨和可汗学院创始人萨尔曼·可汗最近在播客《Unconfuse Me》的一次对话节选。这段对话盖茨和可汗聊了人工智能。盖茨说去年9月初第一次看到 OpenAI 给他们演示 GPT-4 的时候，是他一生中见过的最震撼的一次演示，就像当年他第一次看到施乐 PARC 图形用户界面一样，在看到施乐的图形界面的那一次，为微软之后十五年的规划指明了方向。之所以可汗学院能在去年就和OpenAI合作，使用GPT-4开发了Khanmigo。一方面是因为OpenAI希望用到可汗学院的生物AP考试（Advanced Placement，先修课程）题库，另一方面的原因是盖茨极力向OpenAI推荐了可汗学院。最开始可汗是拒绝的，因为他不知道能给可汗学院带来什么好处，直到他看到了OpenAI给他们的演示，ChatGPT那时候能回答生物学的AP问题，不仅如此，它还能解释为什么其他答案不对，并且还能生成新的类似的问题。在刚开始拿到GPT-4的内部访问权限后，可汗都没睡好觉，然后他在内部举行了一次黑客马拉松，一共有40左右的人签署了保密协议，尝试着基于GPT-4产生各种各样的点子，解决它存在的各种问题：比如数学不好、可能引入偏见、怎么保证安全性等等。到了去年十二月和今年一月，可汗学院的团队快速开发迭代，很快推出了他们基于GPT-4的教育类AI应用Khanmigo，收到了很好的反馈。另外他也透露了Khanmigo的小秘密，也就是让它在充当助教时，当学生提交答案，不要给学生答案，而是先形成自己的解决方案，并且不直接返回解决方案，而是将AI的解决方案和学生答案对比，再告诉学生的法案中可能存在的问题。如果你对具体实现细节有兴趣，可以参考我以前写过的微博：网页链接最后，盖茨把ChatGPT在给出错误答案被指正后认错的方式，类比为小孩子找借口说：“作业被狗吃了”，非常有趣的比喻😄www.youtube.com/watch?v=42GDCHI7Okg&list=PLxf-CDjxvNVofjauP3Lue0fOKWSWHQu82&index=6 宝玉xp的微博视频,2023-08-16,23,1,28,,2023-08-16 08:03:54
宝玉xp,"著名投资机构a16z把斯坦福25个AI小人虚拟小镇重写了，并且代码开源了。新的技术栈相对前端友好，NextJS + Tailwind完整技术栈：游戏引擎和数据库Game engine & Database: Convex向量数据库VectorDB: Pinecone登录认证Auth: Clerk文字生成模型Text model: OpenAIDeployment: Fly像素图生成Pixel Art Generation: Replicate, Fal.aigithub.com/a16z-infra/ai-town",2023-08-16,128,11,105,,2023-08-16 03:42:39
宝玉xp,价值 9 万美元、重 104 磅的人形机器人 Unitree H1。首款通用仿人机器人|嵌入式人工智能，售价低于9万美元半年成果预告全球同类产品中动力性能最高的机器人，重约 47Kg，最大关节扭矩 360N.mtwitter.com/UnitreeRobotics/status/1691426884121427968 宝玉xp的微博视频 ,2023-08-16,18,6,19,,2023-08-16 01:57:30
宝玉xp,Llama-2 7b 跑在价值100块的香橙派上，每秒5token相关链接：网页链接 ,2023-08-15,24,3,11,,2023-08-15 11:14:15
宝玉xp,通过WebGPU加速的WebLLM，在64GB的Apple Silicon Mac 上运行 70B 的 Lama2 模型，可以达到 6个token每秒，速度还可以。测试地址：网页链接 ,2023-08-15,11,1,9,,2023-08-15 11:12:17
宝玉xp,比尔盖茨和可汗学院创始人萨尔曼·可汗最近在播客《Unconfuse Me》的一次对话节选。“如果你有一个魔法愿望，可以在不学习的情况下精通一门学科，你会选择哪一个？”可汗选择的是量子力学和钢琴。盖茨选择的是中文，他希望能帮助中国和美国相处融洽，他认为这是相当重要的！www.youtube.com/watch?v=41_UxTASwKw&list=PLxf-CDjxvNVofjauP3Lue0fOKWSWHQu82&index=3 宝玉xp的微博视频,2023-08-15,43,5,23,,2023-08-15 05:19:33
宝玉xp,比尔盖茨和可汗学院创始人萨尔曼·可汗最近的一次对话节选。可汗问盖茨：“有哪些教师真正触动了你，影响了你呢？”盖茨说他8年级的时候，在数学方面有点懒散，他的老师说：“你怎么这么懒散？你本可以在这方面做得很好。”这给他很大触动，原本他是那种以为：“付出越少你就越酷”的孩子。自那以后他改变了很多。盖茨反过来问可汗同样的问题，可汗也回忆了几个老师，甚至于他对每个老师的名字都能清楚的记得。二年级的时候有两个老师真正关心他的兴趣是什么，五年级的时候社交研究课老师上课的方式很特别。还有他高中时，在一个大学选修课程，一个博士发现他家里没电脑，给他创造了机会，让他能去大学兼职，学习编程，影响了他的人生。好的老师真的是能改变人的一生。youtube.com/watch?v=-n3gV3WDnHw&list=PLxf-CDjxvNVofjauP3Lue0fOKWSWHQu82&index=2 宝玉xp的微博视频,2023-08-15,232,15,281,,2023-08-15 03:42:39
宝玉xp,比尔盖茨和可汗学院创始人萨尔曼·可汗最近的一次对话节选。可汗问了盖茨一个问题：“你认为在人工智能、教育和工作方面会发生什么？”盖茨认为永远不会有太多的教师，医生和教师在很多国家都是短缺的资源，而人工智能不会担心短缺。并且人工智能将像一位优秀的高中教师一样，能够真实地批改学生的文章，帮助他们提高。盖茨也鼓励学生继续学习和探索，不要因为现在有AI帮我们做很多事情而不努力学习。盖茨还鼓励孩子们从政，现在的社会需要一批真正拥有科学素养的政治家，从而弥补科学和政治之间的鸿沟！www.youtube.com/watch?v=r1_I5yNl6M4 宝玉xp的微博视频,2023-08-15,64,12,35,,2023-08-15 02:06:21
宝玉xp,日常生活中，背景噪音会让我们更难理解别人在说什么。所以我们经常使用其他感官的信息，尤其是视觉，比如看嘴唇，来帮助理解。Meta的“唇读术” MuAViC，这套语音识别+翻译技术特别针对背景嘈杂的情况做了优化，借助面部表情提升语音识别率，思路非常巧妙。相关文章：网页链接 宝玉xp的微博视频,2023-08-15,37,0,29,,2023-08-15 01:35:37
量子位,【#实时高清3D渲染#】这个模型，帮你实现实时3D渲染，画质可达1080P！网页链接 量子位的微博视频 ,2023-08-15,10,0,5,实时高清3D渲染,2023-08-15 20:01:00
量子位,【#听键盘声就能偷密码#】AI听键盘声就能偷密码，准确率还高达95%。你有什么好的防范方法吗？ 量子位的微博视频 ,2023-08-15,7,4,3,听键盘声就能偷密码,2023-08-15 19:20:00
量子位,贡献相同时，如何确认论文共同作者的排名顺序？(via.Maarten van Smeden) ,2023-08-15,25,1,9,,2023-08-15 19:00:00
量子位,【#AI听键盘声就能偷你密码准确率百分之95# 】无了个大语！以后AI靠听键盘声就能偷你密码，准确率高达95%！你没听错，现在键盘敲字也不安全了，简直防不胜防。最近，来自杜伦大学等三所高校的研究人员训练了个AI模型，让声学攻击变得无比简单，通过分析键盘声音，就能重构用户输入的密码和敏感信息。这要是被恶意泄露给第三方……网友们听到后直呼可瑞贼，有人表示：这就是为啥我输密码的时候会听重金属音乐，并且将音量调到最大。究竟怎么回事？AI听键盘声就能偷你密码，准确率高达95%,2023-08-15,15,6,11,AI听键盘声就能偷你密码准确率百分之95,2023-08-15 18:00:40
量子位,【#字节细粒度多模态联合理解大模型来了# 】字节大模型BuboGPT来了支持文本、图像、音频三种模态，做到细粒度的多模态联合理解。答哪指哪，什么讲了什么没讲，一目了然，（下图一）。除了有“慧眼”，还有“聪耳”。人类都注意不到的细节BuboGPT能听到（下图二）。三模态联合理解，文字描述+图像定位+声音定位，一键搞定，准确判断声音来源（下图三）。研究人员表示：MiniGPT-4，LLaVA和X-LLM等最近爆火的多模态大模型未对输入的特定部分进行基础性连接，只构建了粗粒度的映射。而BuboGPT利用文本与其它模态之间丰富的信息且明确的对应关系，可以提供对视觉对象及给定模态的细粒度理解。因此，当BuboGPT对图像进行描述时，能够指出图中对象的具体位置。字节大模型新进展：首次引入视觉定位，实现细粒度多模态联合理解，已开源&demo可玩,2023-08-15,9,0,6,字节细粒度多模态联合理解大模型来了,2023-08-15 17:55:48
量子位,【#德雷塞尔学者发表超长图论综述#】足足写了422页A4纸的图论综述，涵盖四分之一研究生内容，图文并茂、配有习题，赶快来学习吧！网页链接 ,2023-08-15,31,0,21,德雷塞尔学者发表超长图论综述,2023-08-15 16:00:01
量子位,#pandas使用小技巧# 如果你经常使用NumPy和PyTorch，突然想用pandas进行数据处理的话，这里有一些值得注意的细节：.loc会包括指定的索引结束点。用.loc选择数据范围时，所选取的范围会包括结束索引所在的行/列，而不仅仅是从起始索引到结束索引之间的部分。（via.Sebastian Raschka） ,2023-08-15,5,1,4,pandas使用小技巧,2023-08-15 15:25:39
量子位,【#英伟达3D模型生成工具开源#】英伟达能把视频转换成3D模型的Neuralangelo，终于开源了！github点com/NVlabs/neuralangelo 量子位的微博视频 ,2023-08-15,37,4,35,英伟达3D模型生成工具开源,2023-08-15 15:02:00
量子位,MIT的#量子计算#课程讲义，来自应用数学教授Peter Shor，下载地址：网页链接 ,2023-08-15,17,1,12,量子计算,2023-08-15 14:30:00
